dataset,perturb_type,model,r,SE
Tuckute2024,contentwords,xglm_xl,0.08792998929395547,0.033191458884152106
Tuckute2024,contentwords,xlm_align,0.014975888176324456,0.051274810680307564
Tuckute2024,contentwords,xlmr_base,0.0970470225809176,0.04699708238798006
Tuckute2024,contentwords,xlmr_large,0.08044386897910849,0.035441478813316545
Tuckute2024,functionwords,bert_base,0.018269226432208612,0.03358139936850119
Tuckute2024,functionwords,distilmbert,0.057294043599429544,0.018304706328702933
Tuckute2024,functionwords,infoxlm_base,0.0633880684091152,0.011585652297461271
Tuckute2024,functionwords,infoxlm_large,0.041213207366764475,0.03736646869228754
Tuckute2024,functionwords,mdeberta,0.03443869035783089,0.02124818927213158
Tuckute2024,functionwords,mgpt,0.13034093985806205,0.06023240801620199
Tuckute2024,functionwords,mt5_base,0.04757392414337084,0.023501237315698507
Tuckute2024,functionwords,mt5_large,0.004408694362615089,0.02208796426190865
Tuckute2024,functionwords,mt5_small,0.05179556009946221,0.02855273328032823
Tuckute2024,functionwords,multiminilm,0.035515464087278875,0.03398652921863688
Tuckute2024,functionwords,nllb200_1B,0.0532470598497289,0.04674130099718008
Tuckute2024,functionwords,nllb200_distilled_1B,0.06353842007504039,0.05565086428938847
Tuckute2024,functionwords,nllb200_distilled_600M,0.031299368089155795,0.030616732459610784
Tuckute2024,functionwords,xglm_large,0.03554903557297614,0.03384150999119001
Tuckute2024,functionwords,xglm_med,0.02664492173363467,0.03328570486344258
Tuckute2024,functionwords,xglm_small,0.15972455835448232,0.07465294726319392
Tuckute2024,functionwords,xglm_xl,-0.015932270478852248,0.028432615108642086
Tuckute2024,functionwords,xlm_align,0.0684170908437214,0.014349763408594498
Tuckute2024,functionwords,xlmr_base,0.039962747160609255,0.022064755713104803
Tuckute2024,functionwords,xlmr_large,0.056977627955887566,0.043417648976223334
Tuckute2024,intact,bert_base,0.03498948421008399,0.04132043362214791
Tuckute2024,intact,distilmbert,0.0799640520628876,0.034418062985178514
Tuckute2024,intact,infoxlm_base,0.07837933741441132,0.04322120459353034
